area,lat,lon
East Melbourne,-37.81575787,144.988184298
East Melbourne,-37.81636296,144.987427268
East Melbourne,-37.81638646,144.987630039
East Melbourne,-37.81104846,144.984140646
East Melbourne,-37.81608793,144.984834136
East Melbourne,-37.81296163,144.980455702
East Melbourne,-37.80899046,144.973522327
East Melbourne,-37.80849653,144.973619012
East Melbourne,-37.80862592,144.974887122
East Melbourne,-37.80855929,144.974276441
East Melbourne,-37.80895362,144.977894549
East Melbourne,-37.81087579,144.974119012
East Melbourne,-37.81154318,144.977340439
East Melbourne,-37.81162321,144.97574558
East Melbourne,-37.81642072,144.975927502
East Melbourne,-37.81680765,144.979983698
Melbourne (Remainder),-37.836275,144.976209572
Melbourne (Remainder),-37.83854242,144.977193113
Melbourne (Remainder),-37.8455379,144.979819038
Melbourne (Remainder),-37.84685298,144.980378149
Southbank,-37.82730522,144.959050704
Southbank,-37.82580013,144.963565642
Southbank,-37.82539902,144.966071447
Southbank,-37.82413111,144.967877726
Southbank,-37.82843322,144.967969426
Southbank,-37.83063263,144.967466569
Southbank,-37.82981139,144.97021525
Southbank,-37.83002436,144.969568044
Southbank,-37.82956555,144.96939214
Southbank,-37.82456191,144.969319749
Southbank,-37.82094494,144.968224607
Southbank,-37.82094494,144.968224607
Southbank,-37.82281706,144.968633818
Southbank,-37.82066924,144.966262253
Southbank,-37.82066924,144.966262253
Southbank,-37.82038776,144.967114686
Melbourne (Remainder),-37.83909862,144.977535477
Melbourne (Remainder),-37.83949217,144.977676928
Melbourne (Remainder),-37.8441033,144.979362332
Melbourne (Remainder),-37.84459472,144.979312384
Docklands,-37.82461483,144.947647139
Docklands,-37.82488025,144.946355947
Docklands,-37.82438863,144.943550585
Port Melbourne,-37.82210926,144.930953536
Port Melbourne,-37.82304058,144.925377505
Port Melbourne,-37.82221049,144.918786228
Port Melbourne,-37.82600955,144.920988022
Port Melbourne,-37.82984781,144.917194113
Port Melbourne,-37.82634273,144.910585822
Port Melbourne,-37.82797655,144.906335906
Southbank,-37.82132921,144.963338023
Southbank,-37.82092509,144.963375778
Southbank,-37.82082512,144.963828622
Southbank,-37.82104029,144.962891358
Southbank,-37.82193588,144.963874356
Southbank,-37.82167833,144.962153946
Southbank,-37.82312164,144.958660189
Southbank,-37.82539976,144.952378154
Southbank,-37.82539976,144.952378154
Southbank,-37.82409302,144.95033362
Southbank,-37.82559018,144.958342688
Southbank,-37.82425012,144.962678206
Southbank,-37.82280752,144.965827262
Melbourne (Remainder),-37.83016975,144.980372356
South Yarra,-37.83428436,144.981451767
South Yarra,-37.83431735,144.981699536
South Yarra,-37.83430008,144.981945066
South Yarra,-37.83431435,144.982036345
South Yarra,-37.83713808,144.979309745
Melbourne (Remainder),-37.84633593,144.982663953
Melbourne (Remainder),-37.84971031,144.981958874
Parkville,-37.7849288,144.958562594
Parkville,-37.79525038,144.9556719
Parkville,-37.80009421,144.956578445
Parkville,-37.79885182,144.955040398
Parkville,-37.77810275,144.947935334
Parkville,-37.79372054,144.949547006
Parkville,-37.78427658,144.951432112
Docklands,-37.82020557,144.954158694
Docklands,-37.81379938,144.950998069
Docklands,-37.81501701,144.951186966
Docklands,-37.81396231,144.944961198
Docklands,-37.81453857,144.945340212
Docklands,-37.81486994,144.947536811
Docklands,-37.81733573,144.949373281
Docklands,-37.81817241,144.947217029
Docklands,-37.81792089,144.949017581
Docklands,-37.81925128,144.947975341
